Loan_ID,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area
LP001015,0,5720,0,110,1,2
LP001022,0,3076,1500,126,1,2
LP001031,0,5000,1800,208,1,2
LP001051,0,3276,0,78,1,2
LP001054,1,2165,3422,152,1,2
LP001055,0,2226,0,59,1,1
LP001056,0,3881,0,147,0,0
LP001067,0,2400,2400,123,1,1
LP001078,0,3091,0,90,1,2
LP001096,0,4666,0,124,1,1
LP001099,0,5667,0,131,1,2
LP001105,0,4583,2916,200,1,2
LP001107,0,3786,333,126,1,1
LP001108,0,9226,7916,300,1,2
LP001115,0,1300,3470,100,1,1
LP001121,0,1888,1620,48,1,2
LP001124,0,2083,0,28,1,2
LP001135,0,3765,0,125,1,2
LP001149,0,5400,4380,290,1,2
LP001153,0,0,24000,148,0,0
LP001169,0,7500,3750,275,1,2
LP001176,0,2942,2382,125,1,2
LP001177,0,2478,0,75,1,1
LP001183,0,6250,820,192,1,2
LP001185,0,3268,1683,152,1,1
LP001187,0,2783,2708,158,1,2
LP001190,0,2740,1541,101,1,2
LP001203,0,3150,0,176,0,1
LP001210,1,2267,2792,90,1,2
LP001211,1,5833,0,116,1,2
LP001219,0,3643,1963,138,1,2
LP001220,0,5629,818,100,1,2
LP001221,0,3644,0,110,1,2
LP001226,0,1750,2024,90,1,1
LP001230,0,6500,2600,200,1,1
LP001231,0,3666,0,84,1,2
LP001242,0,2356,1902,108,1,1
LP001270,1,8000,250,187,1,1
LP001284,0,2419,1707,124,1,2
LP001291,0,3500,3077,160,1,1
LP001298,0,4116,1000,30,1,2
LP001312,1,5293,0,92,1,2
LP001313,0,2750,0,130,0,2
LP001317,0,4402,0,130,1,0
LP001321,0,3613,3539,134,1,1
LP001323,0,2779,3664,176,0,1
LP001324,0,4720,0,90,1,1
LP001332,0,2415,1721,110,1,1
LP001335,1,7016,292,125,1,2
LP001338,0,4968,0,189,1,1
LP001347,0,2101,1500,108,0,0
LP001348,0,4490,0,125,1,2
LP001351,0,2917,3583,138,1,1
LP001352,0,4700,0,135,0,1
LP001358,0,3445,0,130,0,1
LP001359,0,7666,0,187,1,1
LP001361,0,2458,5105,188,0,0
LP001368,0,4463,0,65,1,1
LP001380,1,3900,2094,232,1,0
LP001386,0,4750,3583,144,1,1
LP001400,0,3583,3435,155,1,2
LP001407,0,3189,2367,186,1,2
LP001413,1,6356,0,50,1,0
LP001419,0,7950,0,185,1,2
LP001420,0,3829,1103,163,0,2
LP001428,0,72529,0,360,1,2
LP001445,0,4136,0,149,0,0
LP001446,0,8449,0,257,1,0
LP001450,0,4456,0,131,0,1
LP001452,0,4635,8000,102,1,0
LP001455,0,3571,1917,135,1,2
LP001466,0,3066,0,95,1,1
LP001471,0,3235,2015,77,1,1
LP001483,0,13518,0,390,1,0
LP001486,0,4364,2500,185,1,1
LP001490,0,4766,1646,100,1,1
LP001496,0,4609,2333,123,0,1
LP001499,0,6260,0,110,1,1
LP001500,0,3333,4200,256,1,2
LP001501,0,3500,3250,140,1,1
LP001517,0,9719,0,61,1,2
LP001534,0,4452,0,131,1,0
LP001547,0,3901,0,116,1,2
LP001548,0,2687,0,50,1,0
LP001561,0,3417,1287,200,1,1
LP001567,0,4513,0,120,1,0
LP001568,0,4500,0,140,1,1
LP001573,0,4523,1350,165,1,2
LP001584,1,4742,0,108,1,1
LP001589,0,3417,0,102,1,2
LP001591,0,2922,3396,122,1,1
LP001599,0,4167,4754,160,1,0
LP001607,0,0,1760,180,1,1
LP001613,0,1762,2666,104,0,2
LP001622,0,724,3510,213,0,0
LP001627,0,3125,0,65,1,2
LP001650,0,2333,3803,146,1,0
LP001651,0,3350,1560,135,1,2
LP001652,0,2500,6414,187,0,0
LP001655,0,12500,0,300,0,2
LP001660,0,4667,0,120,1,1
LP001662,0,6500,0,71,0,2
LP001663,0,7500,0,225,1,2
LP001667,0,3073,0,70,1,2
LP001703,0,3333,1270,124,1,2
LP001718,0,3391,0,132,1,0
LP001728,1,3343,1517,105,1,0
LP001735,0,3620,0,90,1,2
LP001737,0,4000,0,83,1,2
LP001739,0,4258,0,125,1,2
LP001742,0,4500,0,147,1,0
LP001757,0,2014,2925,120,1,0
LP001785,0,4727,0,150,0,0
LP001787,0,3089,2999,100,1,0
LP001794,1,10890,0,260,1,0
LP001797,0,12941,0,150,1,2
LP001815,0,3276,0,90,1,1
LP001817,1,8703,0,199,0,0
LP001818,0,4742,717,139,1,1
LP001822,0,5900,0,150,1,2
LP001827,0,3071,4309,180,1,2
LP001831,0,2783,1456,113,1,2
LP001842,0,5000,0,148,1,0
LP001853,0,2463,2360,117,0,2
LP001855,0,4855,0,72,1,0
LP001857,1,1599,2474,125,1,1
LP001862,1,4246,4246,214,1,2
LP001867,0,4333,2291,133,1,0
LP001878,0,5823,2529,187,1,1
LP001881,0,7895,0,143,1,0
LP001886,0,4150,4256,209,1,0
LP001909,0,5583,0,116,1,2
LP001911,0,2708,0,65,1,0
LP001923,0,2268,0,170,0,1
LP001933,0,1141,2017,120,0,2
LP001943,0,3042,3167,135,1,2
LP001959,0,3564,0,79,1,0
LP001961,0,3958,0,110,1,0
LP001973,0,4483,0,130,1,0
LP001975,0,5225,0,143,1,0
LP001979,0,3017,2845,159,0,2
LP001995,0,2431,1820,110,0,0
LP002007,0,2500,3333,131,1,2
LP002016,0,5128,0,143,1,0
LP002018,0,3958,2632,160,1,1
LP002027,0,4334,2945,165,1,1
LP002028,0,4358,0,110,1,2
LP002042,0,4000,3917,173,1,0
LP002047,0,4521,1184,150,1,1
LP002056,0,9167,0,235,1,1
LP002059,0,7874,3967,336,1,0
LP002062,0,4333,0,132,1,0
LP002064,0,4083,0,96,1,2
LP002070,0,2654,1998,128,0,0
LP002077,0,10000,2690,412,1,1
LP002083,1,5833,0,116,1,2
LP002090,0,4796,0,114,0,1
LP002096,0,2000,1600,115,1,0
LP002099,0,2540,700,104,0,2
LP002102,1,1900,1442,88,1,0
LP002105,1,8706,0,108,1,0
LP002107,0,2855,542,90,1,2
LP002117,0,3159,2374,108,1,1
LP002118,0,1937,1152,78,1,1
LP002123,0,2613,2417,123,1,1
LP002125,0,4960,2600,187,1,1
LP002148,0,3074,1083,146,1,1
LP002152,0,4213,0,80,1,2
LP002167,0,2362,0,55,1,2
LP002168,0,5333,2400,200,0,0
LP002172,1,5384,0,150,1,1
LP002176,0,5708,0,150,1,0
LP002184,0,2914,2130,150,1,2
LP002186,0,2747,2458,118,1,1
LP002192,0,7830,2183,212,1,0
LP002195,1,3507,3148,212,1,0
LP002208,0,3747,2139,125,1,2
LP002240,0,3500,2168,149,1,0
LP002245,0,2896,0,80,1,2
LP002253,0,5062,0,152,1,0
LP002256,1,5184,0,187,0,1
LP002257,0,2545,0,74,1,2
LP002264,0,2553,1768,102,1,2
LP002270,0,3436,3809,100,1,0
LP002279,0,2412,2755,130,1,0
LP002286,0,5180,0,125,0,2
LP002294,0,14911,14507,130,1,1
LP002306,0,1173,1594,28,1,0
LP002310,0,7600,0,92,1,1
LP002311,0,2157,1788,104,1,2
LP002316,0,2231,2774,176,0,2
LP002321,0,2274,5211,117,0,1
LP002325,0,6166,13983,102,1,0
LP002326,0,2513,1110,107,1,1
LP002329,0,4333,0,66,1,2
LP002333,0,3844,0,105,1,2
LP002339,0,3887,1517,105,0,1
LP002344,0,3510,828,105,1,1
LP002354,0,2107,0,64,1,1
LP002358,1,5000,2166,150,1,2
LP002375,1,3943,0,64,1,1
LP002376,0,2925,0,40,1,0
LP002383,0,3242,437,142,0,2
LP002389,0,4028,0,131,1,1
LP002394,0,4010,1025,120,1,2
LP002397,0,3719,1585,114,1,2
LP002400,0,3833,0,92,1,0
LP002402,0,3333,4288,160,1,2
LP002412,0,3007,3725,151,1,0
LP002417,0,2792,2619,171,1,1
LP002420,0,2982,1550,110,1,1
LP002433,0,18840,0,234,1,0
LP002440,0,2995,1120,184,1,0
LP002442,0,3835,1400,112,0,2
LP002445,0,3854,3575,117,1,0
LP002450,0,5833,750,49,0,0
LP002471,0,3508,0,99,1,0
LP002476,0,1635,2444,99,1,2
LP002482,1,3333,3916,212,1,0
LP002485,0,24797,0,240,1,1
LP002495,0,5667,440,130,0,1
LP002496,0,3500,0,94,0,1
LP002523,0,2773,1497,108,1,1
LP002550,0,5769,0,110,1,1
LP002554,0,2166,2057,122,1,1
LP002561,0,5000,0,126,1,0
LP002568,0,9000,0,122,1,0
LP002570,0,10000,11666,460,1,2
LP002592,0,4983,0,141,1,2
LP002599,0,3667,2000,170,1,1
LP002604,0,3166,2833,145,1,2
LP002605,0,3271,0,90,1,0
LP002609,0,2241,2000,88,0,2
LP002612,0,2666,0,84,1,1
LP002635,0,3729,0,117,1,1
LP002639,0,4120,0,128,1,0
LP002644,1,7500,0,75,1,2
LP002711,0,2600,700,96,1,1
LP002721,1,7500,0,183,1,0
LP002735,0,3859,0,121,1,0
LP002744,0,6825,0,162,1,0
LP002745,0,3708,4700,132,1,1
LP002746,0,5314,0,147,1,2
LP002747,0,2366,5272,153,0,0
LP002759,0,5000,0,149,1,0
LP002760,0,3767,0,134,1,2
LP002766,0,7859,879,165,1,1
LP002769,0,4283,0,120,1,0
LP002774,0,1700,2900,67,0,2
LP002781,0,3083,2738,120,1,2
LP002782,0,2667,1542,148,1,0
LP002786,0,1647,1762,181,1,2
LP002790,0,3400,0,80,1,2
LP002793,0,5333,0,90,1,0
LP002802,0,2875,2416,95,0,1
LP002805,0,5041,700,150,1,2
LP002806,1,6958,1411,150,1,0
LP002823,0,5509,0,143,1,0
LP002825,0,9699,0,300,1,2
LP002826,0,3621,2717,171,1,2
LP002843,0,4709,0,113,1,1
LP002849,0,1516,1951,35,1,1
LP002850,0,2400,0,46,1,2
LP002856,0,2292,1558,119,1,2
LP002857,1,2360,3355,87,1,0
LP002858,0,4333,2333,162,0,0
LP002860,1,2623,4831,122,1,1
LP002867,1,3972,4275,187,1,0
LP002869,0,3522,0,81,1,0
LP002870,0,4700,0,80,1,2
LP002876,0,6858,0,176,1,0
LP002878,0,8334,0,260,1,2
LP002879,0,3391,1966,133,0,0
LP002885,0,2868,0,70,1,2
LP002890,0,3418,1380,135,1,2
LP002891,1,2500,296,137,1,0
LP002899,0,8667,0,254,1,0
LP002907,0,5817,910,109,1,2
LP002920,0,5119,3769,120,1,0
LP002921,0,5316,187,158,0,1
LP002932,0,7603,1213,197,1,2
LP002935,0,3791,1936,85,1,2
LP002952,0,2500,0,60,1,2
LP002962,0,4000,2667,152,1,1
LP002969,0,2269,2167,99,1,1
LP002971,1,4009,1777,113,1,2
LP002975,0,4158,709,115,1,2
LP002986,0,5000,2393,158,1,0
LP002989,1,9200,0,98,1,0
